Date,Open,High,Low,Close,Volume
11/21/2016,110.12,111.99,110.01,111.73,29264787
11/22/2016,111.95,112.42,111.4,111.8,25965534
11/23/2016,111.36,111.51,110.33,111.23,27426394
11/25/2016,111.13,111.87,110.95,111.79,11475948
11/28/2016,111.43,112.465,111.39,111.57,27173993
11/29/2016,110.78,112.03,110.07,111.46,28528750
11/30/2016,111.6,112.2,110.27,110.52,36162258
12/1/2016,110.365,110.94,109.03,109.49,37086862
12/2/2016,109.17,110.09,108.85,109.9,26527997
12/5/2016,110,110.03,108.25,109.11,34324740
12/6/2016,109.5,110.36,109.19,109.95,26195462
12/7/2016,109.26,111.19,109.16,111.03,29998773
12/8/2016,110.86,112.43,110.6,112.12,27168316
12/9/2016,112.31,114.7,112.31,113.95,34402627
12/12/2016,113.29,115,112.49,113.3,26374494
12/13/2016,113.84,115.92,113.75,115.19,43733811
12/14/2016,115.04,116.2,114.98,115.19,34031834
12/15/2016,115.38,116.73,115.23,115.82,46904738
12/16/2016,116.47,116.5,115.645,115.97,44351140
12/19/2016,115.8,117.38,115.75,116.64,28779423
12/20/2016,116.74,117.5,116.68,116.95,21424965
12/21/2016,116.8,117.4,116.78,117.06,24286968
12/22/2016,116.35,116.51,115.64,116.29,26085863
12/23/2016,115.59,116.52,115.59,116.52,14249484
12/27/2016,116.52,117.8,116.49,117.26,18296855
12/28/2016,117.52,118.0166,116.2,116.76,20905892
12/29/2016,116.45,117.1095,116.4,116.73,15039519
12/30/2016,116.65,117.2,115.43,115.82,30588285
1/3/2017,115.8,116.33,114.76,116.15,28768565
1/4/2017,115.85,116.51,115.75,116.02,21118116
1/5/2017,115.92,116.8642,115.81,116.61,22193587
1/6/2017,116.78,118.16,116.47,117.91,31751900
1/9/2017,117.95,119.43,117.94,118.99,33561948
1/10/2017,118.77,119.38,118.3,119.11,24462705
1/11/2017,118.74,119.93,118.6,119.75,27588593
1/12/2017,118.895,119.3,118.21,119.25,27086220
1/13/2017,119.11,119.62,118.81,119.04,26111955
1/17/2017,118.34,120.24,118.22,120,34441283
1/18/2017,120,120.5,119.71,119.99,23712961
1/19/2017,119.4,120.09,119.37,119.78,25597306
1/20/2017,120.45,120.45,119.7346,120,32617453
1/23/2017,120,120.81,119.77,120.08,22050218
1/24/2017,119.55,120.1,119.5,119.97,23211038
1/25/2017,120.42,122.1,120.28,121.88,32586863
1/26/2017,121.67,122.44,121.6,121.94,26337576
1/27/2017,122.14,122.35,121.6,121.95,20566114
1/30/2017,120.93,121.63,120.66,121.63,30379153
1/31/2017,121.15,121.39,120.62,121.35,49200993
2/1/2017,127.03,130.49,127.01,128.75,111985591
2/2/2017,127.975,129.39,127.78,128.53,33794432
2/3/2017,128.31,129.19,128.16,129.08,24707301
2/6/2017,129.13,130.5,128.9,130.29,27095924
2/7/2017,130.54,132.09,130.45,131.53,38183916
2/8/2017,131.35,132.22,131.22,132.04,23863263
2/9/2017,131.65,132.445,131.12,132.42,28349959
2/10/2017,132.46,132.94,132.05,132.12,20066343
2/13/2017,133.08,133.82,132.75,133.29,23035671
2/14/2017,133.47,135.09,133.25,135.02,33311248
2/15/2017,135.52,136.27,134.62,135.51,35623100
2/16/2017,135.67,135.9,134.8398,135.345,22575255
2/17/2017,135.1,135.83,135.1,135.72,22198233
2/21/2017,136.23,136.75,135.98,136.7,24518806
2/22/2017,136.43,137.12,136.11,137.11,20836934
2/23/2017,137.38,137.48,136.3,136.53,20788186
2/24/2017,135.91,136.66,135.28,136.66,21827185
2/27/2017,137.14,137.435,136.28,136.93,20258076
2/28/2017,137.08,137.435,136.7,136.99,23482948
3/1/2017,137.89,140.15,137.595,139.79,36444585
3/2/2017,140,140.2786,138.76,138.96,26215285
3/3/2017,138.78,139.83,138.59,139.78,21571121
3/6/2017,139.365,139.77,138.5959,139.34,21880044
3/7/2017,139.06,139.98,138.79,139.52,17446298
3/8/2017,138.95,139.8,138.82,139,18707256
3/9/2017,138.74,138.79,137.05,138.68,22155904
3/10/2017,139.25,139.3571,138.64,139.14,19612801
3/13/2017,138.85,139.43,138.82,139.2,17421717
3/14/2017,139.3,139.65,138.84,138.99,15317315
3/15/2017,139.41,140.7501,139.025,140.46,25741774
3/16/2017,140.72,141.02,140.26,140.69,19231998
3/17/2017,141,141,139.89,139.99,43886952
3/20/2017,140.4,141.5,140.23,141.46,21542057
3/21/2017,142.11,142.8,139.73,139.84,39530574
3/22/2017,139.845,141.6,139.76,141.42,25863896
3/23/2017,141.26,141.5844,140.61,140.92,20346301
3/24/2017,141.5,141.74,140.35,140.64,22395573
3/27/2017,139.39,141.22,138.62,140.88,23638982
3/28/2017,140.91,144.04,140.62,143.8,33514805
3/29/2017,143.68,144.49,143.19,144.12,29189955
3/30/2017,144.19,144.5,143.5,143.93,21207454
3/31/2017,143.72,144.27,143.01,143.66,19661701
4/3/2017,143.71,144.12,143.05,143.7,19988614
4/4/2017,143.25,144.89,143.17,144.77,19937004
4/5/2017,144.22,145.46,143.81,144.02,27717854
4/6/2017,144.29,144.52,143.45,143.66,21149034
4/7/2017,143.73,144.18,143.27,143.34,16672198
4/10/2017,143.6,143.8792,142.9,143.17,18933497
4/11/2017,142.94,143.35,140.06,141.63,30879487
4/12/2017,141.6,142.15,141.01,141.8,20350000
4/13/2017,141.91,142.38,141.05,141.05,17822875
4/17/2017,141.48,141.88,140.87,141.83,16582294
4/18/2017,141.41,142.04,141.11,141.2,14697694
4/19/2017,141.88,142,140.45,140.68,17328375
4/20/2017,141.22,142.92,141.16,142.44,23319562
4/21/2017,142.44,142.68,141.85,142.27,17327928
4/24/2017,143.5,143.95,143.18,143.64,17134333
4/25/2017,143.91,144.9,143.87,144.53,18871501
4/26/2017,144.47,144.6,143.3762,143.68,20041241
4/27/2017,143.923,144.16,143.31,143.79,14246347
4/28/2017,144.09,144.3,143.27,143.65,21456358
5/1/2017,145.1,147.2,144.96,146.58,33603858
5/2/2017,147.54,148.09,146.84,147.51,45352199
5/3/2017,145.59,147.49,144.27,147.06,46997034
5/4/2017,146.52,147.14,145.81,146.53,23371872
5/5/2017,146.76,148.98,146.76,148.96,27354125
5/8/2017,149.03,153.7,149.03,153.01,48752472
5/9/2017,153.87,154.88,153.45,153.99,39130508
5/10/2017,153.63,153.94,152.11,153.26,25805692
5/11/2017,152.45,154.07,152.31,153.95,27255058
5/12/2017,154.7,156.42,154.67,156.1,32527017
5/15/2017,156.01,156.65,155.05,155.7,26009719
5/16/2017,155.94,156.06,154.72,155.47,20051023
5/17/2017,153.6,154.57,149.71,150.25,50786178
5/18/2017,151.27,153.34,151.13,152.54,33568215
5/19/2017,153.38,153.98,152.63,153.06,26960791
5/22/2017,154,154.58,152.91,153.99,22966447
5/23/2017,154.9,154.9,153.31,153.8,20020271
5/24/2017,153.84,154.17,152.67,153.34,19219154
5/25/2017,153.73,154.35,153.03,153.87,19258674
5/26/2017,154,154.24,153.31,153.61,21927637
5/30/2017,153.42,154.43,153.33,153.67,20126951
5/31/2017,153.97,154.17,152.38,152.76,24516956
6/1/2017,153.17,153.33,152.22,153.18,16404345
6/2/2017,153.58,155.45,152.89,155.45,27770715
6/5/2017,154.34,154.45,153.46,153.93,25331722
6/6/2017,153.9,155.81,153.78,154.45,26624956
6/7/2017,155.02,155.98,154.48,155.37,21069665
6/8/2017,155.25,155.54,154.4,154.99,21250808
6/9/2017,155.19,155.19,146.02,148.98,64882785
6/12/2017,145.74,146.09,142.51,145.42,72309586
6/13/2017,147.16,147.45,145.15,146.59,34165445
6/14/2017,147.5,147.5,143.84,145.16,31531632
6/15/2017,143.32,144.4798,142.21,144.29,32165458
6/16/2017,143.78,144.5,142.2,142.27,50861175
6/19/2017,143.66,146.74,143.66,146.34,32541429
6/20/2017,146.87,146.87,144.94,145.01,24900069
6/21/2017,145.52,146.0693,144.61,145.87,21265851
6/22/2017,145.77,146.7,145.1199,145.63,19124294
6/23/2017,145.13,147.16,145.11,146.28,35450889
6/26/2017,147.17,148.28,145.38,145.82,25693361
6/27/2017,145.01,146.16,143.62,143.73,24761908
6/28/2017,144.49,146.11,143.1601,145.83,22082432
6/29/2017,144.71,145.13,142.28,143.68,31499368
6/30/2017,144.45,144.96,143.78,144.02,23024114
7/3/2017,144.88,145.3001,143.1,143.5,14277887
7/5/2017,143.69,144.79,142.7237,144.09,21569632
7/6/2017,143.02,143.5,142.41,142.73,24128782
7/7/2017,142.9,144.75,142.9,144.18,19201712
7/10/2017,144.11,145.95,143.37,145.06,21207636
7/11/2017,144.73,145.85,144.38,145.53,19781836
7/12/2017,145.87,146.18,144.82,145.74,24884478
7/13/2017,145.5,148.49,145.44,147.77,25199373
7/14/2017,147.97,149.33,147.33,149.04,20133949
7/17/2017,148.82,150.9,148.57,149.56,23793456
7/18/2017,149.2,150.13,148.67,150.08,17868792
7/19/2017,150.48,151.42,149.95,151.02,20922969
7/20/2017,151.5,151.74,150.19,150.34,17243748
7/21/2017,149.99,150.44,148.88,150.27,26356690
7/24/2017,150.58,152.44,149.9,152.09,21493160
7/25/2017,151.8,153.84,151.8,152.74,18854072
7/26/2017,153.35,153.93,153.06,153.46,15782981
7/27/2017,153.75,153.99,147.3,150.56,32478021
7/28/2017,149.89,150.23,149.19,149.5,17213692
7/31/2017,149.9,150.33,148.13,148.73,19847980
8/1/2017,149.1,150.22,148.41,150.05,35394939
8/2/2017,159.28,159.75,156.16,157.14,69936800
8/3/2017,157.05,157.21,155.02,155.57,27097296
8/4/2017,156.07,157.4,155.69,156.39,20559852
8/7/2017,157.06,158.92,156.6701,158.81,21870321
8/8/2017,158.6,161.83,158.27,160.08,36205993
8/9/2017,159.26,161.27,159.11,161.06,26131530
8/10/2017,159.9,160,154.63,155.32,40807281
8/11/2017,156.6,158.5728,156.07,157.48,26258866
8/14/2017,159.32,160.21,158.75,159.85,22134304
8/15/2017,160.66,162.195,160.14,161.6,29465487
8/16/2017,161.94,162.51,160.15,160.95,27671612
8/17/2017,160.52,160.71,157.84,157.86,28313845
8/18/2017,157.86,159.5,156.72,157.5,27429095
8/21/2017,157.5,157.89,155.1101,157.21,26368528
8/22/2017,158.23,160,158.02,159.78,21604588
8/23/2017,159.07,160.47,158.88,159.98,19461581
8/24/2017,160.43,160.74,158.55,159.27,19838918
8/25/2017,159.65,160.56,159.27,159.86,25480100
8/28/2017,160.14,162,159.93,161.47,25965972
8/29/2017,160.1,163.12,160,162.91,29734354
8/30/2017,163.8,163.89,162.61,163.35,27269584
8/31/2017,163.64,164.52,163.48,164,26785096
9/1/2017,164.8,164.94,163.63,164.05,16592851
9/5/2017,163.75,164.25,160.56,162.08,29537295
